Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
23232,19960728,102,71,   87,  11,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 17,3.2
23232,19960729,106,67,   87,  11,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 12,2.3
23232,19960730,106,65,   86,  10,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 14,1.8
23232,19960731,108,64,   86,  10,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 14,1.8
23233,19960701,87,54,   71,  09,-,-,-,-,BR ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960702,69,53,   61, -01,-,-,-,-,BR HZ ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960703,75,54,   65,  03,-,-,-,-,BR ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960704,70,55,   63,  01,-,-,-,-,FG BR HZ ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960705,69,53,   61, -01,-,-,-,-,FG BR HZ ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960706,72,52,   62,  00,-,-,-,-,FG BR HZ ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960707,67,56,   62,  00,-,-,-,-,BR ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960708,67,56,   62,  00,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960709,67,55,   61, -01,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960710,69,57,   63,  01,-,-,-,-,BR ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960711,74,56,   65,  03,-,-,-,-,BR HZ ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960712,73,57,   65,  03,-,-,-,-,BR ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
23233,19960713,70,56,   63,  01,-,-,-,-,BR ,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,-,-
